algorithm,depth,nodes,timeMs,winner,durationMs,boardSize
expectiminimax,4,1554,2.3000000715255737,0,2.3000000715255737,default
expectiminimax,4,1344,2,0,2,default
expectiminimax,4,1493,2.3000000715255737,0,2.3000000715255737,default
expectiminimax,4,1532,2.399999976158142,0,2.399999976158142,default
expectiminimax,4,1360,1.7999999523162842,0,1.7999999523162842,default
expectiminimax,4,499,0.5999999046325684,0,0.5999999046325684,default
expectiminimax,4,336,0.5,0,0.5,default
expectiminimax,6,137255,166.39999997615814,0,166.39999997615814,default
expectiminimax,6,133619,162.29999995231628,0,162.29999995231628,default
expectiminimax,6,136473,164.20000004768372,0,164.20000004768372,default
expectiminimax,6,127789,153.39999997615814,0,153.39999997615814,default
expectiminimax,6,90433,108.70000004768372,0,108.70000004768372,default
expectiminimax,6,137255,165.20000004768372,0,165.20000004768372,default
expectiminimax,6,136647,164.80000007152557,0,164.80000007152557,default
expectiminimax,6,110107,132.5,0,132.5,default
expectiminimax,6,55985,68.19999992847443,0,68.19999992847443,default
expectiminimax,6,54051,65.5,0,65.5,default
expectiminimax,6,51894,63.299999952316284,0,63.299999952316284,default
expectiminimax,6,38585,47.39999997615814,0,47.39999997615814,default
expectiminimax,6,10788,13.699999928474426,0,13.699999928474426,default
minimax,4,340,0.5,0,0.5,small
minimax,4,326,0.5,0,0.5,small
minimax,4,262,0.2999999523162842,0,0.2999999523162842,small
minimax,4,96,0.09999990463256836,0,0.09999990463256836,small
minimax,4,119,0.20000004768371582,0,0.20000004768371582,small
minimax,4,109,0.10000002384185791,0,0.10000002384185791,small
minimax,4,43,0,0,0,small
minimax,4,9,0,0,0,small
minimax,4,3,0,0,0,small
minimax,4,1,0,0,0,small
minimax,4,340,0.5,0,0.5,small
minimax,4,326,0.3999999761581421,0,0.3999999761581421,small
minimax,4,120,0.19999992847442627,0,0.19999992847442627,small
minimax,4,119,0.10000002384185791,0,0.10000002384185791,small
minimax,4,76,0.19999992847442627,0,0.19999992847442627,small
minimax,4,26,0.09999990463256836,0,0.09999990463256836,small
minimax,4,10,0,0,0,small
minimax,6,5437,6.599999904632568,0,6.599999904632568,small
minimax,6,4643,5.399999976158142,0,5.399999976158142,small
minimax,6,2919,3.399999976158142,0,3.399999976158142,small
minimax,6,701,1.1999999284744263,0,1.1999999284744263,small
minimax,6,723,1.3000000715255737,0,1.3000000715255737,small
minimax,6,620,1.100000023841858,0,1.100000023841858,small
minimax,6,233,0.30000007152557373,0,0.30000007152557373,small
minimax,6,29,0,0,0,small
minimax,6,4,0,0,0,small
minimax,6,1,0,0,0,small
alphabeta,4,124,0.30000007152557373,0,0.30000007152557373,small
alphabeta,4,115,0.19999992847442627,0,0.19999992847442627,small
alphabeta,4,131,0.10000002384185791,0,0.10000002384185791,small
alphabeta,4,71,0.10000002384185791,0,0.10000002384185791,small
alphabeta,4,48,0.10000002384185791,0,0.10000002384185791,small
alphabeta,4,53,0.10000002384185791,0,0.10000002384185791,small
alphabeta,4,20,0,0,0,small
alphabeta,4,5,0,0,0,small
alphabeta,6,610,1,0,1,small
alphabeta,6,1027,1.5,0,1.5,small
alphabeta,6,743,0.7999999523162842,0,0.7999999523162842,small
alphabeta,6,234,0.30000007152557373,0,0.30000007152557373,small
alphabeta,6,125,0.10000002384185791,0,0.10000002384185791,small
alphabeta,6,213,0.20000004768371582,0,0.20000004768371582,small
alphabeta,6,142,0.10000002384185791,0,0.10000002384185791,small
alphabeta,6,23,0.10000002384185791,0,0.10000002384185791,small
expectiminimax,4,340,0.3999999761581421,0,0.3999999761581421,small
expectiminimax,4,326,0.30000007152557373,0,0.30000007152557373,small
expectiminimax,4,262,0.30000007152557373,0,0.30000007152557373,small
expectiminimax,4,96,0.10000002384185791,0,0.10000002384185791,small
expectiminimax,4,119,0.19999992847442627,0,0.19999992847442627,small
expectiminimax,4,109,0.19999992847442627,0,0.19999992847442627,small
expectiminimax,4,43,0.10000002384185791,0,0.10000002384185791,small
expectiminimax,4,29,0,0,0,small
expectiminimax,4,4,0.20000004768371582,0,0.20000004768371582,small
expectiminimax,6,5437,7.400000095367432,0,7.400000095367432,small
expectiminimax,6,4643,5.299999952316284,0,5.299999952316284,small
expectiminimax,6,1089,1.5,0,1.5,small
expectiminimax,6,975,1.600000023841858,0,1.600000023841858,small
expectiminimax,6,385,0.6000000238418579,0,0.6000000238418579,small
expectiminimax,6,87,0.10000002384185791,0,0.10000002384185791,small
expectiminimax,6,17,0,0,0,small
expectiminimax,6,5437,6.600000023841858,0,6.600000023841858,small
expectiminimax,6,5363,6.200000047683716,0,6.200000047683716,small
expectiminimax,6,4650,5.600000023841858,0,5.600000023841858,small
expectiminimax,6,2805,3.399999976158142,0,3.399999976158142,small
expectiminimax,6,1922,2.5999999046325684,0,2.5999999046325684,small
expectiminimax,6,663,0.8000000715255737,0,0.8000000715255737,small
expectiminimax,6,399,0.5,0,0.5,small
expectiminimax,6,77,0.19999992847442627,0,0.19999992847442627,small
expectiminimax,6,15,0,0,0,small
expectiminimax,6,1,0,0,0,small
alphabeta,4,1044,1.9000000953674316,0,1.9000000953674316,large
alphabeta,4,1044,1.7999999523162842,0,1.7999999523162842,large
alphabeta,4,1368,2.399999976158142,0,2.399999976158142,large
alphabeta,4,416,0.5,0,0.5,large
alphabeta,4,1044,1.9000000953674316,0,1.9000000953674316,large
alphabeta,4,1254,2.4000000953674316,0,2.4000000953674316,large
alphabeta,4,1293,2.299999952316284,0,2.299999952316284,large
alphabeta,4,1043,2,0,2,large
alphabeta,4,1105,1.7000000476837158,0,1.7000000476837158,large
alphabeta,4,1160,1.8000000715255737,0,1.8000000715255737,large
alphabeta,4,608,0.8999999761581421,0,0.8999999761581421,large
alphabeta,4,967,1.600000023841858,0,1.600000023841858,large
alphabeta,4,688,1.2000000476837158,0,1.2000000476837158,large
alphabeta,4,795,1.4000000953674316,0,1.4000000953674316,large
alphabeta,4,282,0.5,0,0.5,large
alphabeta,6,10302,15.899999976158142,0,15.899999976158142,large
alphabeta,6,10275,15,0,15,large
alphabeta,6,9179,13.300000071525574,0,13.300000071525574,large
alphabeta,6,6486,9.399999976158142,0,9.399999976158142,large
alphabeta,6,6515,9.400000095367432,0,9.400000095367432,large
alphabeta,6,6840,10.299999952316284,0,10.299999952316284,large
alphabeta,6,5448,8.300000071525574,0,8.300000071525574,large
alphabeta,6,3963,6.100000023841858,0,6.100000023841858,large
alphabeta,6,4750,7.800000071525574,0,7.800000071525574,large
minimax,6,597870,797.7999999523163,0,797.7999999523163,large
minimax,6,597820,800.6999999284744,0,800.6999999284744,large
minimax,6,585906,783.1999999284744,0,783.1999999284744,large
minimax,6,518937,692.1000000238419,0,692.1000000238419,large
minimax,6,287480,383.5,0,383.5,large
minimax,6,291527,391.7000000476837,0,391.7000000476837,large
minimax,6,241806,321.8000000715256,0,321.8000000715256,large
minimax,6,294929,394.39999997615814,0,394.39999997615814,large
minimax,6,273428,366.5,0,366.5,large
minimax,6,279655,376.2000000476837,0,376.2000000476837,large
minimax,6,194487,261,0,261,large
minimax,6,216969,291.90000009536743,0,291.90000009536743,large
minimax,4,2981,4.100000023841858,0,4.100000023841858,large
minimax,4,7380,10.899999976158142,0,10.899999976158142,large
minimax,4,7380,10.700000047683716,0,10.700000047683716,large
minimax,4,6597,9.699999928474426,0,9.699999928474426,large
minimax,4,7380,11,0,11,large
minimax,4,7379,10.699999928474426,0,10.699999928474426,large
minimax,4,7282,10.399999976158142,0,10.399999976158142,large
minimax,4,4680,6.5,0,6.5,large
minimax,4,4104,6.100000023841858,0,6.100000023841858,large
expectiminimax,4,7380,10.899999976158142,0,10.899999976158142,large
expectiminimax,4,7380,10.599999904632568,0,10.599999904632568,large
expectiminimax,4,7380,10.800000071525574,0,10.800000071525574,large
expectiminimax,4,6659,9.700000047683716,0,9.700000047683716,large
expectiminimax,4,7379,10.900000095367432,0,10.900000095367432,large
expectiminimax,4,6937,10,0,10,large
expectiminimax,4,4680,6.700000047683716,0,6.700000047683716,large
expectiminimax,4,4176,6.200000047683716,0,6.200000047683716,large
expectiminimax,4,4678,6.700000047683716,0,6.700000047683716,large
expectiminimax,4,4333,6.899999976158142,0,6.899999976158142,large
expectiminimax,4,2799,4.700000047683716,0,4.700000047683716,large
expectiminimax,4,2774,4.299999952316284,0,4.299999952316284,large
expectiminimax,4,2773,4.5,0,4.5,large
expectiminimax,4,2408,3.799999952316284,0,3.799999952316284,large
expectiminimax,4,2408,3.899999976158142,0,3.899999976158142,large
expectiminimax,4,2137,3.3000000715255737,0,3.3000000715255737,large
expectiminimax,4,1843,2.899999976158142,0,2.899999976158142,large
expectiminimax,6,597870,830.7000000476837,0,830.7000000476837,large
expectiminimax,6,587231,810.7999999523163,0,810.7999999523163,large
expectiminimax,6,594268,820.3999999761581,0,820.3999999761581,large
expectiminimax,6,591724,817.5,0,817.5,large
expectiminimax,6,551870,765.2999999523163,0,765.2999999523163,large
expectiminimax,6,485952,674.6000000238419,0,674.6000000238419,large
expectiminimax,6,365333,507.39999997615814,0,507.39999997615814,large
expectiminimax,6,597870,839.7999999523163,0,839.7999999523163,large
expectiminimax,6,587232,824.8999999761581,0,824.8999999761581,large
expectiminimax,6,597275,841.0999999046326,0,841.0999999046326,large
expectiminimax,6,595731,837.2999999523163,0,837.2999999523163,large
expectiminimax,6,590326,832.1999999284744,0,832.1999999284744,large
expectiminimax,6,584056,825.3000000715256,0,825.3000000715256,large
expectiminimax,6,505360,691.6999999284744,0,691.6999999284744,large
expectiminimax,6,465865,638.8999999761581,0,638.8999999761581,large
expectiminimax,6,204416,273.7999999523163,0,273.7999999523163,large
